-50.0871,13.7087,-15.5063,-13.6893,5.95346,-4.93665,0.220106
-51.4474,14.3234,-15.9778,-13.4517,6.0505,-4.3521,0.226854
-52.7825,14.944,-16.3923,-13.2067,6.13083,-3.82255,0.213522
-54.0943,15.5807,-16.7562,-12.9636,6.20401,-3.3548,0.200225
-55.3811,16.2222,-17.0749,-12.7217,6.25985,-2.95085,0.186156
-56.6437,16.8738,-17.3575,-12.4843,6.30632,-2.6114,0.1694
-59.578,18.4499,-17.9189,-11.9287,6.37095,-2.0247,0.0996078
-60.7618,19.1068,-18.1168,-11.7027,6.38087,-1.85876,0.0771134
-61.9217,19.767,-18.3019,-11.4818,6.3899,-1.73327,0.056651
-63.0592,20.4231,-18.4751,-11.2654,6.38984,-1.64033,0.0372906
-64.1745,21.0838,-18.6388,-11.0564,6.38434,-1.57449,0.0114292
-65.2691,21.7387,-18.7961,-10.8554,6.37191,-1.52821,-0.00149722
-66.3435,22.3887,-18.9491,-10.6559,6.37664,-1.49157,-0.0143832
-67.398,23.039,-19.0989,-10.4531,6.39668,-1.46467,-0.0255066
-68.4329,23.6978,-19.2463,-10.2488,6.43632,-1.44582,-0.0208729
-69.4471,24.3571,-19.3924,-10.0483,6.47835,-1.44249,-0.040511
-70.4399,25.0251,-19.5388,-9.85154,6.52488,-1.45477,-0.052857
-71.4137,25.6937,-19.6867,-9.66048,6.56504,-1.48497,-0.0529983
-72.3701,26.3718,-19.8365,-9.47529,6.60206,-1.52748,-0.0664376
-73.308,27.0479,-19.9919,-9.29592,6.63158,-1.58272,-0.0773034
-74.2273,27.7323,-20.1509,-9.12013,6.66186,-1.64094,-0.0812308
-75.1295,28.414,-20.317,-8.95157,6.68622,-1.70121,-0.085055
-76.0158,29.1009,-20.4885,-8.78996,6.71532,-1.76274,-0.086778
-76.8866,29.7867,-20.6661,-8.64115,6.74756,-1.81038,-0.0614162
-79.6429,32.0537,-21.2791,-8.19699,6.88068,-1.90869,-0.0377162
-80.4557,32.7526,-21.471,-8.07684,6.92617,-1.92872,-0.0351017
-81.2563,33.4575,-21.6644,-7.95911,6.9747,-1.95134,-0.0406142
-82.0462,34.1672,-21.8602,-7.84594,7.02518,-1.97732,-0.0424965
-82.8252,34.8833,-22.059,-7.73256,7.0765,-2.00746,-0.0461627
-83.5884,35.5993,-22.2586,-7.53369,7.03366,-1.97267,0.0391009
-84.332,36.3129,-22.4475,-7.3614,6.99619,-1.81481,0.17051
-85.0606,37.0217,-22.6159,-7.23406,6.97701,-1.55731,0.264154
-85.778,37.7329,-22.7535,-7.13983,6.98302,-1.23009,0.295976
-86.4868,38.4418,-22.8595,-7.05489,6.99985,-0.921188,0.267942
-87.1874,39.1554,-22.9364,-6.97148,7.02886,-0.657119,0.22857
-87.88,39.8684,-22.9895,-6.89444,7.06405,-0.43323,0.200521
-88.5652,40.5822,-23.0228,-6.81814,7.10729,-0.24797,0.161276
-89.4585,41.5346,-23.0425,-6.7253,7.17897,-0.0573283,0.121278
-89.914,42.0291,-23.0438,-6.67933,7.21971,0.02338,0.104308
-90.5781,42.7618,-23.0358,-6.61414,7.28535,0.120679,0.0713333
-91.2357,43.5019,-23.0188,-6.55439,7.35504,0.189106,0.0597993
-91.8877,44.2487,-22.9954,-6.497,7.42683,0.238112,0.0375638
-92.5343,45.0031,-22.9673,-6.44015,7.50027,0.267167,0.0172711
-93.1757,45.7642,-22.9363,-6.38476,7.57194,0.281975,0.00434067
-93.8121,46.5342,-22.9032,-6.32603,7.64218,0.283654,-0.00747893
-94.4427,47.3092,-22.8717,-6.26816,7.71228,0.269991,-0.0136672
-95.0686,48.093,-22.84,-6.21267,7.78344,0.251851,-0.0241391
-95.6886,48.8814,-22.8103,-6.15661,7.85205,0.23329,-0.0244243
-96.3046,49.6782,-22.779,-6.10354,7.91616,0.207635,-0.0317887
-98.3089,52.3523,-22.7086,-5.9246,8.09781,0.1055,-0.0300027
-98.9026,53.168,-22.6944,-5.87651,8.14302,0.0779398,-0.0329768
-99.4919,53.9895,-22.6818,-5.824,8.1857,0.0504387,-0.0291881
